[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /stock                    --> stonk-watcher/internal/handlers.StockHandler (4 handlers)
[GIN-debug] DELETE /stock                    --> stonk-watcher/internal/handlers.TruncateStockInfo (4 handlers)
[GIN-debug] GET    /stock/price              --> stonk-watcher/internal/handlers.StockPriceHandler (4 handlers)
[GIN-debug] GET    /watchlist                --> stonk-watcher/internal/handlers.GetWatchlistHandler (4 handlers)
[GIN-debug] POST   /watchlist                --> stonk-watcher/internal/handlers.UpdateWatchlistHandler (4 handlers)
[GIN-debug] GET    /                         --> stonk-watcher/internal/handlers.StaticHandler.func1 (4 handlers)
[GIN-debug] GET    /static/*file             --> stonk-watcher/internal/handlers.StaticHandler.func1 (4 handlers)
[GIN-debug] Environment variable PORT is undefined. Using port :8080 by default
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2021/03/15 - 11:30:20 | 200 |   292.51559ms |             ::1 | GET      "/stock/price?ticker=VMW"
[GIN] 2021/03/15 - 11:30:20 | 200 |   310.92723ms |             ::1 | GET      "/stock/price?ticker=XOM"
[GIN] 2021/03/15 - 11:30:20 | 200 |  294.656586ms |             ::1 | GET      "/stock/price?ticker=CVX"
[GIN] 2021/03/15 - 11:30:20 | 200 |     271.254ms |             ::1 | GET      "/stock/price?ticker=FANG"
[GIN] 2021/03/15 - 11:30:20 | 200 |  298.585761ms |             ::1 | GET      "/stock/price?ticker=SLB"
[GIN] 2021/03/15 - 11:30:20 | 200 |  302.948213ms |             ::1 | GET      "/stock/price?ticker=FTI"
[GIN] 2021/03/15 - 11:30:20 | 200 |  1.445131154s |             ::1 | GET      "/stock/price?ticker=AMZN"
[GIN] 2021/03/15 - 11:30:20 | 200 |  316.717346ms |             ::1 | GET      "/stock/price?ticker=ET"
[GIN] 2021/03/15 - 11:30:20 | 200 |  1.179223086s |             ::1 | GET      "/stock/price?ticker=NVDA"
[GIN] 2021/03/15 - 11:30:20 | 200 |  299.301626ms |             ::1 | GET      "/stock/price?ticker=FE"
[GIN] 2021/03/15 - 11:30:20 | 200 |  302.210003ms |             ::1 | GET      "/stock/price?ticker=PFE"
[GIN] 2021/03/15 - 11:30:20 | 200 |  274.767192ms |             ::1 | GET      "/stock/price?ticker=T"
[GIN] 2021/03/15 - 11:30:20 | 200 |   299.52789ms |             ::1 | GET      "/stock/price?ticker=VZ"
[GIN] 2021/03/15 - 11:30:21 | 200 |  314.161973ms |             ::1 | GET      "/stock/price?ticker=KO"
[GIN] 2021/03/15 - 11:30:21 | 200 |   305.14047ms |             ::1 | GET      "/stock/price?ticker=PEP"
[GIN] 2021/03/15 - 11:30:21 | 200 |  311.967465ms |             ::1 | GET      "/stock/price?ticker=NOC"
[GIN] 2021/03/15 - 11:30:21 | 200 |  316.035862ms |             ::1 | GET      "/stock/price?ticker=LMT"
[GIN] 2021/03/15 - 11:30:21 | 200 |  321.685915ms |             ::1 | GET      "/stock/price?ticker=WMT"
[GIN] 2021/03/15 - 11:30:21 | 200 |  528.151453ms |             ::1 | GET      "/stock/price?ticker=BBY"
[GIN] 2021/03/15 - 11:30:21 | 200 |  1.181467972s |             ::1 | GET      "/stock/price?ticker=GME"
[GIN] 2021/03/15 - 11:30:37 | 200 |  306.644863ms |             ::1 | GET      "/stock/price?ticker=AAPL"
[GIN] 2021/03/15 - 11:30:37 | 200 |  307.769566ms |             ::1 | GET      "/stock/price?ticker=AMZN"
[GIN] 2021/03/15 - 11:30:37 | 200 |  327.490815ms |             ::1 | GET      "/stock/price?ticker=TWTR"
[GIN] 2021/03/15 - 11:30:37 | 200 |    330.0576ms |             ::1 | GET      "/stock/price?ticker=FB"
[GIN] 2021/03/15 - 11:30:37 | 200 |  330.817299ms |             ::1 | GET      "/stock/price?ticker=ADBE"
[GIN] 2021/03/15 - 11:30:37 | 200 |  317.483587ms |             ::1 | GET      "/stock/price?ticker=GOOG"
[GIN] 2021/03/15 - 11:30:37 | 200 |  378.899856ms |             ::1 | GET      "/stock/price?ticker=BABA"
[GIN] 2021/03/15 - 11:30:37 | 200 |  394.711524ms |             ::1 | GET      "/stock/price?ticker=NVDA"
[GIN] 2021/03/15 - 11:30:38 | 200 |  286.981935ms |             ::1 | GET      "/stock/price?ticker=SNE"
[GIN] 2021/03/15 - 11:30:38 | 200 |  289.938453ms |             ::1 | GET      "/stock/price?ticker=XOM"
[GIN] 2021/03/15 - 11:30:38 | 200 |    1.1906928s |             ::1 | GET      "/stock/price?ticker=MSFT"
[GIN] 2021/03/15 - 11:30:38 | 200 |  319.877128ms |             ::1 | GET      "/stock/price?ticker=CVX"
[GIN] 2021/03/15 - 11:30:38 | 200 |  534.900729ms |             ::1 | GET      "/stock/price?ticker=VMW"
[GIN] 2021/03/15 - 11:30:38 | 200 |  298.369195ms |             ::1 | GET      "/stock/price?ticker=SLB"
[GIN] 2021/03/15 - 11:30:38 | 200 |  258.547367ms |             ::1 | GET      "/stock/price?ticker=FANG"
[GIN] 2021/03/15 - 11:30:38 | 200 |  253.510448ms |             ::1 | GET      "/stock/price?ticker=ET"
[GIN] 2021/03/15 - 11:30:38 | 200 |  276.504794ms |             ::1 | GET      "/stock/price?ticker=FTI"
[GIN] 2021/03/15 - 11:30:38 | 200 |  1.404711707s |             ::1 | GET      "/stock/price?ticker=NFLX"
[GIN] 2021/03/15 - 11:30:38 | 200 |  320.935443ms |             ::1 | GET      "/stock/price?ticker=PFE"
[GIN] 2021/03/15 - 11:30:38 | 200 |  267.700966ms |             ::1 | GET      "/stock/price?ticker=T"
[GIN] 2021/03/15 - 11:30:38 | 200 |  323.741018ms |             ::1 | GET      "/stock/price?ticker=GME"
[GIN] 2021/03/15 - 11:30:39 | 200 |  1.610584433s |             ::1 | GET      "/stock/price?ticker=TSLA"
[GIN] 2021/03/15 - 11:30:39 | 200 |  265.718988ms |             ::1 | GET      "/stock/price?ticker=VZ"
[GIN] 2021/03/15 - 11:30:39 | 200 |  273.078194ms |             ::1 | GET      "/stock/price?ticker=KO"
[GIN] 2021/03/15 - 11:30:39 | 200 |  295.391919ms |             ::1 | GET      "/stock/price?ticker=NOC"
[GIN] 2021/03/15 - 11:30:39 | 200 |  299.005929ms |             ::1 | GET      "/stock/price?ticker=LMT"
[GIN] 2021/03/15 - 11:30:39 | 200 |  296.083907ms |             ::1 | GET      "/stock/price?ticker=WMT"
[GIN] 2021/03/15 - 11:30:39 | 200 |  1.197754086s |             ::1 | GET      "/stock/price?ticker=FE"
[GIN] 2021/03/15 - 11:30:40 | 200 |  1.174864062s |             ::1 | GET      "/stock/price?ticker=PEP"
[GIN] 2021/03/15 - 11:30:40 | 200 |  1.237696286s |             ::1 | GET      "/stock/price?ticker=BBY"
[GIN] 2021/03/15 - 11:30:56 | 200 |  311.497532ms |             ::1 | GET      "/stock/price?ticker=MSFT"
[GIN] 2021/03/15 - 11:30:56 | 200 |  308.991399ms |             ::1 | GET      "/stock/price?ticker=TWTR"
[GIN] 2021/03/15 - 11:30:56 | 200 |  600.814703ms |             ::1 | GET      "/stock/price?ticker=ADBE"
[GIN] 2021/03/15 - 11:30:56 | 200 |  597.278974ms |             ::1 | GET      "/stock/price?ticker=FB"
[GIN] 2021/03/15 - 11:30:56 | 200 |  326.859461ms |             ::1 | GET      "/stock/price?ticker=GOOG"
[GIN] 2021/03/15 - 11:30:56 | 200 |  303.118883ms |             ::1 | GET      "/stock/price?ticker=NFLX"
[GIN] 2021/03/15 - 11:30:57 | 200 |  254.822989ms |             ::1 | GET      "/stock/price?ticker=BABA"
[GIN] 2021/03/15 - 11:30:57 | 200 |  276.634053ms |             ::1 | GET      "/stock/price?ticker=NVDA"
[GIN] 2021/03/15 - 11:30:57 | 200 |  262.755906ms |             ::1 | GET      "/stock/price?ticker=SNE"
[GIN] 2021/03/15 - 11:30:57 | 200 |   493.88297ms |             ::1 | GET      "/stock/price?ticker=TSLA"
[GIN] 2021/03/15 - 11:30:57 | 200 |  305.358781ms |             ::1 | GET      "/stock/price?ticker=VMW"
[GIN] 2021/03/15 - 11:30:57 | 200 |  323.198727ms |             ::1 | GET      "/stock/price?ticker=XOM"
[GIN] 2021/03/15 - 11:30:57 | 200 |  1.193772572s |             ::1 | GET      "/stock/price?ticker=AAPL"
[GIN] 2021/03/15 - 11:30:57 | 200 |  334.834487ms |             ::1 | GET      "/stock/price?ticker=CVX"
[GIN] 2021/03/15 - 11:30:57 | 200 |  310.501524ms |             ::1 | GET      "/stock/price?ticker=SLB"
[GIN] 2021/03/15 - 11:30:57 | 200 |  319.429305ms |             ::1 | GET      "/stock/price?ticker=FE"
[GIN] 2021/03/15 - 11:30:57 | 200 |  381.798612ms |             ::1 | GET      "/stock/price?ticker=FANG"
[GIN] 2021/03/15 - 11:30:57 | 200 |  1.559178333s |             ::1 | GET      "/stock/price?ticker=AMZN"
[GIN] 2021/03/15 - 11:30:57 | 200 |  363.680077ms |             ::1 | GET      "/stock/price?ticker=FTI"
[GIN] 2021/03/15 - 11:30:57 | 200 |  361.824502ms |             ::1 | GET      "/stock/price?ticker=ET"
[GIN] 2021/03/15 - 11:30:58 | 200 |  320.607347ms |             ::1 | GET      "/stock/price?ticker=T"
[GIN] 2021/03/15 - 11:30:58 | 200 |   339.99175ms |             ::1 | GET      "/stock/price?ticker=VZ"
[GIN] 2021/03/15 - 11:30:58 | 200 |  345.942496ms |             ::1 | GET      "/stock/price?ticker=KO"
[GIN] 2021/03/15 - 11:30:58 | 200 |  381.129847ms |             ::1 | GET      "/stock/price?ticker=GME"
[GIN] 2021/03/15 - 11:30:58 | 200 |  317.764527ms |             ::1 | GET      "/stock/price?ticker=NOC"
[GIN] 2021/03/15 - 11:30:58 | 200 |  340.387146ms |             ::1 | GET      "/stock/price?ticker=LMT"
[GIN] 2021/03/15 - 11:30:58 | 200 |  354.496015ms |             ::1 | GET      "/stock/price?ticker=WMT"
[GIN] 2021/03/15 - 11:30:58 | 200 |  1.209283142s |             ::1 | GET      "/stock/price?ticker=PEP"
[GIN] 2021/03/15 - 11:30:59 | 200 |  1.444019247s |             ::1 | GET      "/stock/price?ticker=PFE"
[GIN] 2021/03/15 - 11:30:59 | 200 |  1.190643577s |             ::1 | GET      "/stock/price?ticker=BBY"
